#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_81	70	23	86	83	65	58	26	35	125	77	52	66	63	99	87	81	66	85
ASV_427	54	69	78	55	36	49	28	74	67	52	50	41	103	94	81	56	126	105
ASV_76	51	40	88	53	62	55	43	27	60	37	57	93	31	144	35	233	34	46
ASV_75	62	63	28	33	99	57	72	52	51	58	86	77	56	37	73	145	89	68
ASV_80	90	28	34	43	107	33	42	98	42	93	205	54	49	18	89	48	69	46
ASV_86	59	80	13	41	25	38	57	123	33	28	49	60	82	115	104	54	139	59
ASV_78	91	70	48	71	45	62	33	66	12	35	123	65	6	0	89	83	125	120
ASV_84	40	91	33	2	7	295	89	15	27	139	26	24	185	0	33	57	19	44
ASV_83	109	28	39	78	97	140	17	18	74	34	26	54	58	128	28	51	62	36
ASV_87	31	63	92	75	98	72	34	63	43	29	140	49	53	43	59	47	58	47
ASV_85	53	91	38	80	70	172	37	23	90	30	52	45	34	26	41	31	116	39
ASV_93	7	9	64	53	55	30	33	77	25	23	78	51	48	40	27	41	194	197
ASV_88	90	140	5	18	2	407	46	40	30	71	28	67	46	10	10	41	0	13
ASV_89	53	59	29	29	28	45	87	57	51	77	74	64	38	78	62	87	61	72
ASV_91	177	67	57	101	0	41	79	93	131	132	74	26	10	10	1	63	17	1
ASV_102	41	62	40	61	97	42	67	49	44	44	56	56	52	40	83	80	50	57
ASV_92	23	97	6	135	10	60	83	29	51	47	69	38	39	105	61	84	48	43
ASV_114	58	50	76	77	90	42	39	38	42	41	52	41	54	60	61	62	50	69
ASV_94	39	18	21	26	296	18	70	92	29	24	30	18	43	27	82	34	42	42
ASV_100	75	16	31	51	248	21	29	51	16	113	71	40	27	5	37	51	34	63
ASV_101	79	91	10	25	26	51	101	51	58	47	73	108	47	30	65	36	44	57
ASV_104	60	65	69	67	93	62	26	29	44	48	50	70	45	60	48	42	63	29
ASV_97	63	20	78	28	156	59	55	18	40	32	47	28	52	101	22	36	54	58
ASV_96	54	41	115	89	102	71	37	32	43	39	53	35	25	44	28	47	39	47
ASV_110	11	34	54	85	118	20	66	36	26	63	45	25	49	111	56	60	51	32
ASV_98	58	42	50	69	74	111	42	26	50	30	49	40	48	30	26	25	118	36
ASV_106	48	30	16	27	15	15	22	45	221	140	39	52	73	24	44	66	22	30
ASV_109	47	53	12	17	1	1	57	97	37	43	31	74	149	19	76	91	0	98
ASV_99	43	22	31	66	36	76	24	17	87	77	45	27	106	77	31	48	33	35
ASV_284	46	67	49	20	27	117	21	79	26	71	61	90	15	12	36	110	25	30
ASV_113	30	83	46	55	44	43	56	57	54	56	37	55	36	45	60	35	37	54
ASV_2325	46	55	56	41	12	38	62	82	56	45	48	51	55	39	58	31	40	57
ASV_105	37	15	32	56	258	44	6	123	1	41	28	21	2	8	26	22	45	85
ASV_193	39	73	27	50	16	29	61	66	43	57	52	37	27	66	50	79	26	81
ASV_103	49	52	10	69	44	135	24	29	38	34	49	40	66	45	41	38	41	32
ASV_108	53	22	48	40	67	36	26	37	52	92	81	70	30	35	35	46	46	42
ASV_621	40	21	43	21	27	45	27	123	150	83	54	21	37	40	49	50	8	26
ASV_107	64	50	48	59	46	65	49	32	41	33	52	56	29	29	58	46	41	41
ASV_658	40	27	15	17	8	12	95	70	86	72	65	43	46	54	75	57	27	58
ASV_111	40	50	32	15	31	28	56	40	39	64	50	59	30	70	70	65	54	70
ASV_874	39	49	56	60	48	58	35	24	43	42	47	46	31	35	29	62	69	40
ASV_150	49	44	38	50	35	55	36	34	38	42	45	50	46	45	66	58	45	51
ASV_122	42	67	32	34	16	42	63	65	65	46	37	60	49	32	42	46	31	51
ASV_112	27	15	11	15	10	10	71	41	92	99	62	33	56	90	64	77	38	30
ASV_116	7	31	6	8	426	11	17	19	9	19	17	11	52	15	24	4	74	16
ASV_115	33	93	12	79	7	56	5	12	1	5	20	461	1	15	22	2	4	21
ASV_352	28	68	35	33	20	37	49	80	63	40	33	70	48	38	75	31	23	54
ASV_119	40	28	57	23	12	18	71	53	48	37	57	44	32	65	51	72	59	41
ASV_125	11	99	45	72	10	26	45	74	29	47	71	18	25	70	55	23	7	61
ASV_126	43	41	42	29	23	34	41	71	46	40	35	58	36	15	58	39	46	65
ASV_118	46	45	31	35	32	95	39	22	35	74	33	72	24	42	35	28	68	16
ASV_120	44	73	87	65	47	71	22	26	35	24	28	33	25	22	45	47	31	22
ASV_129	21	24	82	49	49	45	26	43	25	33	52	31	21	35	33	31	66	61
ASV_708	41	59	34	34	17	55	57	49	44	33	46	52	32	19	52	36	32	38
ASV_123	58	50	30	45	49	51	32	17	38	27	41	40	35	36	43	33	42	34
ASV_127	36	63	27	51	42	43	30	28	22	42	44	29	28	48	40	60	46	37
ASV_137	45	47	69	60	49	46	36	30	36	18	36	26	33	28	37	44	46	29
ASV_135	18	64	22	39	4	60	39	64	31	51	44	40	69	28	38	21	33	51
ASV_971	41	42	54	38	25	42	28	32	58	34	28	19	58	29	30	35	56	62
ASV_124	48	24	102	25	12	18	47	14	23	32	54	32	31	34	51	45	29	57
ASV_121	46	34	32	25	9	38	66	41	42	46	51	74	26	23	35	18	41	43
ASV_133	50	43	36	67	34	48	31	22	45	36	35	52	37	35	45	25	32	33
ASV_140	39	35	47	47	71	54	37	27	23	31	46	17	14	36	34	38	41	34
ASV_156	48	69	44	23	49	68	56	23	23	29	42	43	13	23	30	28	30	33
ASV_128	39	36	30	25	15	37	59	33	36	35	42	53	35	43	47	35	34	48
ASV_132	6	19	178	57	22	45	52	24	34	21	15	3	19	39	28	11	18	36
ASV_142	39	42	29	27	11	39	67	29	39	41	48	36	17	30	55	24	28	75
ASV_206	18	18	52	238	31	28	21	15	15	13	28	18	10	25	18	30	29	27
ASV_141	80	54	59	68	50	70	5	19	15	32	16	10	29	34	20	19	23	23
ASV_130	26	64	10	49	7	107	24	7	20	46	18	21	9	16	78	16	8	103
ASV_154	30	71	15	39	31	30	28	41	22	38	28	50	49	38	25	54	12	25
ASV_153	31	31	82	14	12	20	44	36	36	34	35	36	24	46	41	54	20	29
ASV_461	19	25	13	107	34	60	51	23	19	34	22	27	16	30	41	46	6	29
ASV_163	24	42	22	26	13	23	42	48	40	35	44	64	46	27	36	31	29	34
ASV_964	19	40	56	22	16	17	33	31	45	28	42	29	35	50	36	34	36	37
ASV_162	40	40	48	47	10	35	64	26	39	34	30	52	26	13	41	17	21	28
ASV_157	28	16	80	26	53	25	16	61	17	26	47	18	7	12	14	40	70	31
ASV_145	8	34	24	60	70	24	16	25	12	32	29	15	32	21	34	35	68	58
ASV_1068	51	54	147	20	19	49	29	22	22	32	14	16	11	16	25	25	9	16
ASV_147	46	61	43	20	21	57	46	19	22	25	39	22	14	38	21	26	59	27
ASV_144	39	14	18	41	36	27	53	46	37	48	27	28	41	27	30	27	21	22
ASV_143	33	22	27	32	47	34	26	19	39	45	24	20	58	50	18	30	42	34
ASV_148	55	55	32	20	15	27	46	30	28	20	47	43	24	18	57	32	16	42
ASV_151	84	57	11	39	14	21	47	34	40	39	25	28	36	25	36	25	6	22
ASV_146	31	7	26	21	17	29	24	15	40	29	29	23	31	51	54	67	52	39
ASV_159	54	37	3	11	6	12	32	32	48	45	36	21	29	30	73	51	37	34
ASV_158	36	41	19	75	4	24	32	41	34	20	18	32	28	18	27	31	23	71
ASV_149	7	141	0	22	34	11	45	43	21	7	5	26	56	6	92	16	16	15
ASV_172	29	25	7	13	10	17	99	47	49	73	38	143	7	4	14	9	10	17
ASV_173	3	2	0	469	0	0	5	22	2	4	0	20	2	1	1	1	1	0
ASV_167	29	42	27	48	49	44	29	11	35	23	24	31	22	26	22	33	24	19
ASV_164	39	32	20	14	3	19	81	40	33	32	31	75	32	17	35	11	18	44
ASV_170	31	25	33	20	17	33	50	31	32	32	33	43	22	32	40	31	13	41
ASV_152	13	37	13	15	32	44	20	22	24	36	12	15	44	22	80	37	43	31
ASV_240	24	30	23	22	14	29	33	43	43	36	35	34	35	38	37	29	14	34
ASV_181	44	27	17	13	9	31	40	26	21	29	39	48	35	29	40	41	22	35
ASV_174	9	10	2	4	5	1	16	57	17	37	17	6	4	3	27	259	64	3
ASV_182	44	15	33	30	43	79	23	9	19	22	28	38	8	38	11	40	34	18
ASV_195	32	38	35	41	32	45	40	19	24	29	20	46	10	21	23	29	27	17
ASV_190	25	9	61	17	69	32	14	41	9	7	28	11	68	12	16	29	39	39
ASV_742	19	26	51	48	20	17	30	31	32	15	20	27	31	33	37	21	23	29
ASV_169	31	13	7	10	36	17	53	44	16	23	13	17	81	36	28	19	18	53
ASV_243	25	111	8	11	12	25	10	15	12	23	37	39	88	16	18	14	30	29
ASV_186	24	32	20	12	8	17	30	42	19	39	13	38	51	29	29	20	53	38
ASV_330	21	18	34	30	68	53	13	21	16	26	62	19	32	8	21	29	29	24
