#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_340	16	24	7	9	2	9	14	27	21	13	19	23	27	2	12	22	6	13
ASV_412	17	12	14	27	19	14	23	9	10	8	20	9	17	18	9	13	22	10
ASV_351	29	1	2	20	11	12	47	12	25	18	12	40	5	9	5	8	5	6
ASV_319	12	10	10	26	15	20	10	6	17	12	13	7	17	21	16	10	17	12
ASV_343	21	22	7	13	12	14	14	14	17	6	13	16	13	7	18	22	12	19
ASV_360	13	10	35	8	2	1	30	5	11	21	14	9	0	30	4	30	10	19
ASV_349	15	37	25	21	6	10	27	3	14	15	7	17	10	14	13	4	4	13
ASV_309	15	27	7	22	8	10	13	12	17	7	12	16	25	8	20	13	7	19
ASV_326	15	14	12	4	2	8	19	35	17	14	15	26	7	10	19	16	9	18
ASV_333	20	9	10	2	5	11	22	15	13	18	11	22	9	17	28	19	9	15
ASV_344	22	11	21	20	33	13	12	7	5	8	13	15	12	9	9	12	8	13
ASV_346	18	23	7	10	11	2	19	7	15	21	14	31	18	12	7	8	13	7
ASV_335	8	10	10	5	5	5	52	20	35	11	10	13	5	12	18	9	7	16
ASV_336	12	19	37	15	24	18	11	19	11	6	10	10	6	6	9	9	12	7
ASV_396	8	18	18	11	6	8	11	22	18	12	17	12	14	9	12	17	7	36
ASV_338	38	3	12	7	80	25	4	0	6	5	2	6	10	10	7	8	16	12
ASV_362	15	18	10	9	4	12	19	15	21	14	17	27	13	17	6	11	9	21
ASV_347	17	12	28	4	5	12	21	12	5	13	18	22	14	14	17	3	7	15
ASV_313	9	8	7	13	12	7	4	21	18	20	12	14	27	9	19	14	17	18
ASV_318	7	0	14	2	16	6	17	8	13	13	18	9	12	20	27	23	8	27
ASV_371	6	10	15	19	16	9	9	6	5	17	27	14	9	4	32	11	17	23
ASV_387	20	13	27	28	4	4	35	12	6	9	25	20	11	7	8	9	1	11
ASV_320	19	34	12	7	6	21	8	2	23	5	3	8	9	11	12	32	23	8
ASV_332	20	25	5	11	25	10	8	18	13	16	7	12	18	8	15	9	5	15
ASV_376	8	9	5	6	9	15	30	13	33	27	12	40	3	0	9	8	5	22
ASV_573	13	17	31	12	23	23	14	9	10	13	16	10	7	4	11	7	12	8
ASV_366	19	12	13	27	8	9	9	15	18	7	8	14	8	10	23	13	16	4
ASV_370	7	13	10	7	3	8	20	12	15	17	20	21	13	15	17	8	11	27
ASV_372	16	17	11	8	12	8	18	24	9	10	27	16	8	20	17	7	16	7
ASV_853	18	16	13	22	15	20	9	13	19	6	7	16	7	11	15	10	9	18
ASV_364	9	8	6	2	10	6	3	4	3	11	95	27	5	25	18	13	3	4
ASV_873	21	16	16	5	6	9	19	26	19	17	9	21	19	7	21	8	8	5
ASV_334	12	5	9	9	3	5	9	8	49	26	8	12	20	14	15	23	9	16
ASV_337	24	8	2	8	3	13	26	10	16	10	23	29	13	8	10	13	13	11
ASV_350	12	8	8	5	7	9	4	1	9	5	25	6	8	72	11	5	28	5
ASV_361	17	10	13	17	9	12	14	12	17	12	17	21	11	11	13	10	14	4
ASV_379	8	56	4	5	10	33	5	14	5	19	5	5	2	2	9	42	4	11
ASV_391	11	11	11	12	18	60	4	8	0	5	16	9	15	14	8	3	3	9
ASV_390	21	17	12	10	10	16	8	4	18	14	5	34	20	5	11	6	31	6
ASV_353	12	15	21	7	23	11	7	13	7	19	22	14	4	3	8	17	15	15
ASV_394	6	13	3	19	7	18	6	13	11	4	14	17	24	3	18	20	11	24
ASV_341	10	24	8	23	14	14	11	11	14	12	7	9	18	11	13	13	9	12
ASV_382	20	22	12	14	2	7	22	12	11	14	13	33	16	10	7	10	7	16
ASV_374	14	19	11	2	10	5	24	14	8	14	27	14	12	6	14	8	16	17
ASV_385	9	12	37	2	4	10	16	13	8	13	16	7	3	7	19	33	1	13
ASV_389	16	7	13	20	12	46	13	12	18	6	13	9	11	4	8	7	5	11
ASV_439	13	8	12	10	2	16	21	12	10	7	19	25	8	14	15	8	15	15
ASV_373	17	10	8	8	8	11	10	18	10	15	10	23	17	16	15	10	7	15
ASV_1534	7	19	10	22	0	10	19	27	13	11	12	14	15	9	22	4	9	10
ASV_436	17	17	5	12	12	18	10	18	20	14	18	9	9	15	9	9	9	10
ASV_538	6	0	32	2	3	37	2	12	14	13	15	3	21	22	1	4	19	11
ASV_555	10	8	7	9	17	16	12	10	18	11	18	13	9	19	13	13	16	11
ASV_426	18	10	22	14	12	17	12	11	13	6	23	8	9	4	16	8	7	11
ASV_329	14	4	5	4	7	3	20	13	23	11	7	13	12	20	23	20	15	17
ASV_2902	9	5	1	3	2	3	24	16	12	20	13	20	9	14	19	8	28	28
ASV_363	9	11	2	7	26	12	15	10	9	12	6	17	2	6	20	42	2	19
ASV_355	24	13	7	9	8	8	20	9	9	15	15	20	13	6	11	12	11	13
ASV_407	9	16	15	18	5	4	6	10	9	10	14	10	7	3	59	4	8	10
ASV_359	28	14	17	2	8	21	19	15	5	7	10	26	12	8	6	6	10	12
ASV_816	11	9	5	5	11	10	15	5	14	12	14	11	8	13	16	18	20	24
ASV_365	9	6	10	35	21	16	9	5	13	3	3	6	2	34	4	13	14	4
ASV_1208	24	15	22	9	2	14	21	12	17	9	7	18	8	5	14	12	3	5
ASV_383	13	11	3	8	2	8	9	15	10	11	17	18	21	17	16	12	17	11
ASV_381	12	12	6	12	5	11	15	18	9	13	14	24	9	13	18	9	10	8
ASV_597	22	5	38	32	10	3	9	6	5	7	4	18	6	4	17	19	4	4
ASV_358	14	7	13	11	10	11	13	12	12	11	11	17	8	12	15	7	10	13
ASV_505	4	16	10	8	3	2	17	21	10	18	11	8	18	9	19	8	8	13
ASV_402	9	3	10	18	38	17	7	29	3	19	4	3	5	9	3	14	8	6
ASV_401	11	10	11	11	3	6	17	11	18	11	9	15	7	10	12	20	10	8
ASV_400	4	17	16	13	5	5	11	12	16	8	15	13	16	14	12	12	7	6
ASV_414	13	17	0	14	0	8	15	27	21	38	1	3	10	2	8	15	0	25
ASV_625	3	7	58	17	4	7	12	12	7	10	6	7	3	3	19	18	3	13
ASV_435	8	19	5	15	4	17	19	9	8	6	7	24	15	7	6	8	15	17
ASV_441	2	15	46	24	2	1	16	7	6	11	14	8	5	16	4	5	8	15
ASV_375	6	6	13	6	30	9	8	14	9	17	10	12	15	8	12	8	10	13
ASV_395	12	20	8	9	5	13	6	16	13	22	15	9	15	14	6	7	5	14
ASV_405	12	15	16	15	20	29	9	5	6	5	10	11	4	11	8	6	14	6
ASV_413	4	11	15	15	9	7	12	9	8	4	19	9	7	18	14	20	12	14
ASV_458	17	11	5	10	5	35	9	13	11	21	6	33	6	3	5	6	3	13
ASV_652	9	11	6	67	1	43	1	0	24	2	4	4	4	6	10	3	4	3
ASV_380	5	8	5	7	18	7	5	22	6	17	29	5	6	3	14	10	14	19
ASV_404	6	16	7	8	5	9	18	17	6	19	14	19	9	10	9	12	10	10
ASV_418	21	7	4	2	21	17	9	7	18	22	10	8	7	5	8	9	11	17
ASV_445	11	9	9	5	17	14	11	13	6	16	18	14	5	4	13	10	5	17
ASV_588	9	25	6	2	6	12	7	21	17	13	10	15	8	11	16	11	4	14
ASV_593	14	9	10	4	15	25	6	9	10	9	11	14	11	6	13	15	11	5
ASV_556	16	22	8	14	1	26	33	9	11	7	5	9	6	6	6	4	14	9
ASV_384	3	10	6	30	7	8	16	4	9	9	11	6	7	7	27	6	17	11
ASV_417	13	19	6	15	7	10	21	10	19	7	10	17	9	11	6	5	9	12
ASV_386	25	22	0	2	9	2	4	18	2	12	21	14	6	1	6	6	37	18
ASV_422	8	15	15	9	12	23	7	3	13	4	16	14	7	7	15	15	14	5
ASV_523	7	45	40	6	1	5	4	5	6	10	11	7	10	7	15	14	1	13
ASV_398	14	10	0	24	9	6	29	10	14	12	10	11	7	2	10	6	4	16
ASV_419	6	4	10	17	30	8	6	3	3	8	44	19	3	2	5	11	11	11
ASV_433	6	33	6	14	1	13	11	5	4	8	3	18	3	12	31	13	1	16
ASV_438	10	10	8	4	17	51	18	11	5	9	9	12	6	3	6	5	4	11
ASV_416	9	1	1	0	0	79	6	5	1	0	8	52	7	0	2	21	0	3
ASV_367	14	13	51	2	0	5	11	11	9	4	8	16	5	6	14	12	3	9
ASV_582	20	15	3	5	0	2	19	13	11	13	3	9	40	8	17	1	11	6
ASV_377	14	11	13	13	5	5	15	13	11	10	14	19	12	8	15	8	3	11
ASV_425	10	4	1	13	0	1	26	2	6	20	24	29	3	3	17	19	14	8
ASV_1983	8	7	34	10	8	11	9	15	3	14	15	6	3	5	5	5	12	13
ASV_409	13	24	11	5	12	14	15	14	12	8	7	11	9	6	3	5	12	7
ASV_460	8	8	15	28	34	10	5	4	4	5	8	3	8	12	6	4	10	17
ASV_392	11	4	3	10	18	11	2	3	19	14	6	2	19	11	6	14	16	11
ASV_397	5	9	9	10	3	8	13	14	30	17	12	9	10	4	10	12	12	11
ASV_411	8	8	4	7	30	9	3	8	6	5	18	12	5	9	9	12	24	10
ASV_403	14	0	2	1	0	0	0	0	114	0	0	0	61	0	1	0	0	0
ASV_465	42	59	4	1	0	5	12	4	7	10	7	13	11	3	3	0	3	4
ASV_442	4	27	0	12	65	2	5	4	12	7	4	4	2	9	1	8	1	8
ASV_478	10	3	16	16	6	19	6	12	2	11	10	10	7	12	24	12	7	2
ASV_1275	24	10	16	11	13	11	7	15	8	4	9	8	5	9	3	18	10	6
ASV_444	4	9	2	49	3	2	15	4	7	15	2	15	5	3	21	1	11	11
ASV_440	6	11	13	10	8	5	7	14	10	9	25	13	11	8	11	0	11	12
ASV_507	14	11	10	15	8	13	21	9	8	10	10	17	4	6	16	5	3	10
ASV_1027	13	10	1	18	8	23	9	0	16	6	20	7	7	3	17	20	3	2
ASV_470	8	6	4	13	3	6	19	6	18	9	32	7	14	5	8	6	7	14
ASV_410	9	11	13	18	29	11	7	8	1	6	7	15	5	8	9	8	10	5
ASV_415	0	128	0	0	0	0	0	1	21	2	0	2	0	0	1	0	0	19
ASV_452	36	2	7	9	8	12	10	7	6	13	6	25	7	3	9	8	10	13
ASV_399	10	1	8	2	18	11	6	6	14	11	8	8	15	13	5	8	18	9
ASV_406	17	13	5	3	5	12	17	7	15	9	6	12	10	9	13	11	7	12
ASV_424	7	6	6	4	2	10	26	13	18	10	9	14	6	4	21	7	16	9
ASV_454	2	5	12	1	0	5	3	16	89	11	5	6	1	1	5	16	6	4
ASV_457	4	17	13	6	9	7	9	26	3	3	3	15	10	10	19	11	11	2
ASV_481	9	14	4	11	11	8	13	6	17	12	12	13	18	3	5	7	6	8
ASV_539	4	54	2	7	5	4	9	18	8	6	7	6	5	13	14	11	5	4
ASV_432	28	7	10	20	13	23	0	3	3	8	5	4	8	7	3	12	19	6
ASV_428	7	11	9	10	15	11	8	10	12	6	8	8	7	14	7	13	9	8
ASV_467	8	18	3	0	6	3	26	29	27	9	15	3	9	5	5	12	10	1
ASV_506	14	13	3	10	9	7	7	5	19	10	11	26	1	3	11	11	18	6
ASV_408	0	25	4	0	61	4	3	2	4	1	5	25	10	5	1	4	2	7
ASV_423	7	10	7	10	3	10	16	4	8	10	18	11	8	9	9	8	8	12
ASV_480	7	10	1	3	0	5	31	6	7	8	10	9	6	6	27	2	11	22
ASV_547	7	7	5	8	9	5	12	5	9	14	14	10	8	13	12	14	7	9
ASV_509	0	16	6	0	0	3	18	34	24	5	13	22	7	5	8	15	2	4
ASV_542	8	9	10	14	9	5	8	19	5	5	13	16	10	6	8	10	9	15
ASV_669	12	6	7	9	4	4	7	5	7	10	8	8	16	15	20	24	6	15
ASV_450	13	4	18	7	16	14	4	8	17	7	3	9	4	19	8	8	10	11
ASV_448	6	12	5	5	13	6	17	4	12	15	15	14	9	12	3	13	8	6
ASV_466	21	15	7	6	9	13	8	15	5	11	9	7	3	7	5	6	20	8
ASV_569	5	16	2	6	2	8	13	14	11	8	6	20	11	4	10	6	19	9
ASV_443	1	3	1	1	0	0	3	11	13	11	1	21	6	75	2	18	0	0
ASV_463	10	8	6	12	5	8	17	5	10	8	11	9	11	11	18	5	4	17
ASV_485	1	10	0	8	4	7	12	12	6	12	28	35	6	5	7	5	11	4
ASV_491	7	14	1	10	3	4	10	16	18	5	9	18	16	5	9	14	3	10
ASV_494	6	29	2	7	5	8	7	17	7	6	4	11	13	9	14	5	7	18
ASV_482	20	8	6	3	3	11	12	6	8	7	18	7	3	10	18	7	9	13
ASV_430	2	8	6	12	8	8	10	10	6	14	6	17	5	6	12	22	8	9
ASV_811	12	16	14	9	2	10	8	10	12	13	3	12	14	8	13	5	2	7
ASV_472	4	8	13	3	8	4	16	17	8	9	4	10	10	11	19	6	15	8
ASV_479	8	9	6	1	10	6	6	20	11	11	9	5	8	7	15	14	2	18
ASV_628	6	28	0	3	6	11	6	13	3	9	12	6	7	21	7	8	11	9
ASV_1299	11	14	3	8	6	10	9	10	10	10	6	13	3	9	11	11	8	17
ASV_540	1	9	4	2	1	5	4	72	4	3	27	12	0	3	0	10	4	12
ASV_604	8	17	10	7	0	7	25	12	11	4	14	15	3	8	8	5	8	10
ASV_429	6	19	3	7	3	7	18	10	3	10	13	10	6	6	13	14	11	5
ASV_486	4	11	25	6	0	8	10	5	12	12	11	11	6	6	15	10	1	11
ASV_535	16	11	5	4	3	20	15	14	12	9	12	12	5	6	6	8	4	7
ASV_544	0	14	3	1	0	1	21	47	19	5	6	19	5	9	10	8	2	3
ASV_471	18	5	6	4	4	5	9	2	12	10	14	11	8	3	17	8	4	22
ASV_546	12	13	4	7	6	10	17	8	8	10	12	17	8	9	4	5	8	11
ASV_730	10	17	7	14	2	3	4	28	7	8	15	15	2	0	10	9	4	12
ASV_1025	28	16	17	11	1	2	6	9	12	14	5	9	3	0	10	8	6	2
ASV_437	4	13	13	16	2	14	14	16	9	9	12	7	5	6	5	6	2	8
ASV_634	13	7	7	23	0	13	11	15	11	8	12	7	11	0	3	5	10	7
ASV_2411	7	11	14	10	6	8	8	8	9	8	9	8	4	9	9	10	15	7
ASV_468	6	4	4	5	4	10	14	7	8	7	20	9	6	8	13	14	9	12
ASV_560	8	11	19	15	13	7	8	3	12	7	8	9	7	11	3	9	3	7
ASV_464	6	11	15	5	12	8	9	10	13	7	10	7	3	6	9	9	10	10
ASV_545	2	5	5	6	34	14	6	5	1	12	10	10	2	10	5	8	10	14
ASV_431	8	4	4	10	3	3	10	5	12	4	10	9	15	18	10	12	12	9
ASV_447	8	5	5	6	3	3	5	11	17	14	5	7	5	18	12	11	13	8
ASV_492	6	8	3	9	1	2	6	20	12	9	5	3	36	5	5	16	3	5
ASV_497	8	19	10	5	2	5	9	14	9	9	10	8	14	5	9	2	12	8
ASV_605	10	2	7	9	10	11	7	4	18	10	8	8	2	6	8	11	12	14
ASV_618	17	8	12	3	4	3	12	13	7	1	8	17	8	3	13	4	9	19
ASV_453	7	12	14	4	10	7	12	5	7	14	8	15	2	3	11	9	9	12
ASV_493	9	3	13	4	3	33	15	3	4	15	2	16	5	1	13	2	5	10
ASV_495	6	20	11	10	12	7	7	9	10	8	2	7	12	4	10	4	4	8
ASV_575	1	5	3	4	0	9	12	26	6	32	13	43	2	3	0	6	0	3
ASV_469	9	3	2	1	1	2	26	12	17	15	8	7	13	5	16	10	2	9
ASV_510	10	13	4	10	4	7	5	14	8	8	10	14	14	7	5	6	10	6
ASV_534	2	0	5	0	5	0	4	13	0	82	5	39	1	1	0	1	0	6
ASV_462	8	8	7	16	10	17	8	2	3	7	7	15	3	7	15	9	6	7
ASV_499	11	8	12	4	3	2	11	15	7	6	10	8	6	12	10	7	5	16
ASV_449	9	19	5	14	1	5	8	17	8	9	3	5	17	12	14	1	6	2
ASV_484	5	1	0	1	0	2	2	4	18	2	1	0	2	0	3	98	1	7
ASV_678	9	12	8	10	1	16	8	3	11	8	9	12	4	4	12	10	9	7
ASV_474	12	23	4	6	16	5	15	8	3	5	10	8	10	6	9	5	4	8
ASV_524	3	22	0	1	19	2	5	30	10	6	4	2	8	6	6	8	5	13
ASV_451	2	0	2	0	3	10	8	7	2	6	33	2	7	14	3	1	52	0
ASV_504	5	9	2	16	8	9	7	3	15	5	11	7	5	3	11	9	5	16
ASV_577	9	10	2	4	2	9	17	9	3	3	16	14	8	6	9	13	9	10
ASV_648	6	8	4	9	5	10	14	14	8	16	10	15	3	8	7	6	2	8
ASV_1586	14	14	10	3	9	11	10	3	6	5	7	7	6	2	19	10	0	17
ASV_487	5	2	10	6	4	12	10	8	18	10	2	20	2	0	10	8	6	15
ASV_488	7	6	5	11	5	6	9	5	5	5	14	10	13	7	12	9	10	11
ASV_502	6	17	5	6	4	3	5	25	13	10	13	5	3	2	3	13	15	3
ASV_551	12	8	3	11	7	5	13	4	7	7	4	17	14	21	3	9	2	7
ASV_592	23	6	15	4	10	2	6	14	0	1	6	9	8	10	2	10	17	8
ASV_459	1	0	0	0	2	0	1	0	0	1	1	3	1	0	133	0	0	0
ASV_536	7	6	2	4	4	4	11	17	15	10	6	14	9	8	10	3	3	12
ASV_543	6	8	7	4	8	5	14	5	4	11	11	14	14	12	7	2	6	15
ASV_496	26	15	2	0	0	6	13	8	13	6	17	18	6	3	7	3	4	4
ASV_511	7	2	6	1	11	55	10	7	3	2	9	2	1	2	4	4	9	3
ASV_609	12	6	6	10	7	7	17	14	3	8	10	4	7	5	13	4	5	11
ASV_554	9	2	7	10	12	5	10	8	5	5	8	21	7	4	7	9	12	3
ASV_566	11	10	6	9	3	3	11	7	10	6	12	16	8	6	4	12	6	10
ASV_578	8	6	11	5	6	35	7	8	6	4	9	8	5	12	5	5	2	7
ASV_2543	3	2	2	1	5	9	11	13	5	10	21	15	7	5	15	5	1	7
ASV_607	9	4	14	3	12	10	7	8	5	5	10	9	8	4	6	15	5	10
ASV_512	3	8	24	8	16	3	5	8	5	10	6	1	7	7	4	4	6	6
ASV_613	9	9	1	5	2	7	20	20	9	6	3	26	4	9	7	1	4	5
ASV_455	7	8	2	5	2	8	12	8	9	11	17	14	6	2	11	3	11	10
ASV_483	9	4	6	3	1	10	8	4	11	4	7	11	11	9	15	5	11	9
ASV_571	6	2	15	8	13	6	7	11	16	10	2	3	5	8	11	4	0	9
ASV_834	11	7	1	1	2	7	13	11	11	9	11	17	8	3	7	5	5	9
ASV_1408	8	2	0	5	9	6	7	3	4	8	11	16	15	9	2	19	6	15
ASV_522	5	9	9	3	8	5	8	5	10	7	14	13	4	8	9	3	4	15
ASV_822	12	16	10	2	3	14	11	18	8	5	5	6	8	5	3	3	8	7
ASV_489	15	3	18	2	1	3	14	6	9	4	5	10	8	9	21	6	4	5
ASV_718	5	6	11	6	2	4	7	14	10	6	3	10	8	11	21	2	2	8
ASV_1987	8	9	2	2	5	14	11	7	5	5	8	15	11	4	5	14	6	11
ASV_503	5	13	6	2	1	4	13	13	9	8	9	14	2	6	16	8	5	10
ASV_553	2	4	3	3	1	0	16	8	13	11	6	8	11	11	15	9	6	9
ASV_516	11	9	0	11	2	11	10	8	9	5	11	7	3	7	9	6	15	6
ASV_528	8	9	4	10	4	5	10	6	11	8	10	10	5	3	16	4	6	7
ASV_550	6	12	7	2	25	5	4	4	6	2	11	7	6	2	12	12	4	11
ASV_847	3	11	15	4	3	6	4	17	3	2	18	3	6	5	1	11	14	6
ASV_527	0	3	18	9	11	7	14	3	7	4	1	11	4	18	3	3	13	4
ASV_568	0	0	1	2	0	0	149	0	0	0	0	0	0	0	0	0	0	0
ASV_1118	3	4	2	1	2	2	22	13	17	3	8	32	6	3	11	4	3	3
ASV_557	7	6	5	8	3	20	14	11	6	5	7	12	8	7	3	3	4	5
ASV_581	6	2	0	0	0	1	15	19	2	8	16	12	18	4	13	6	10	8
ASV_942	12	11	4	5	1	7	11	8	7	11	5	16	4	5	9	9	3	9
ASV_1246	5	6	0	0	0	3	25	9	10	4	20	25	6	3	11	7	4	2
ASV_537	17	1	0	9	1	9	14	6	24	9	1	6	32	2	5	0	5	2
ASV_594	8	10	3	7	8	3	5	14	8	5	8	3	19	11	4	5	4	14
ASV_803	7	9	2	7	0	5	11	9	12	9	8	13	7	4	3	11	7	10
ASV_530	8	6	6	5	2	6	11	5	5	8	5	7	6	11	17	10	5	10
ASV_562	6	5	21	6	8	5	7	7	6	8	12	7	16	3	4	3	3	8
ASV_529	2	12	4	7	5	5	3	4	3	7	9	8	10	10	13	10	10	12
ASV_559	7	25	1	1	2	6	18	12	5	9	8	11	6	2	4	3	4	14
ASV_525	9	9	1	4	2	11	18	7	6	8	9	14	6	6	8	1	6	5
ASV_606	18	6	1	4	0	3	39	7	5	7	4	16	1	1	5	2	6	15
ASV_519	3	7	3	4	2	2	8	15	6	13	10	9	15	8	9	10	5	5
ASV_579	4	11	4	4	7	5	15	10	10	11	9	7	4	2	10	8	7	7
ASV_644	26	2	4	5	12	14	2	1	1	4	15	18	5	1	9	4	5	5
ASV_707	5	11	15	6	0	6	7	10	6	11	8	7	15	7	4	7	1	4
ASV_1116	10	15	1	5	2	9	20	7	5	7	9	7	7	2	5	8	5	4
ASV_574	5	6	1	1	0	1	11	14	16	9	13	6	7	2	22	6	2	7
ASV_620	7	15	9	1	2	12	6	10	6	2	6	9	7	3	5	16	12	6
ASV_549	10	10	10	7	4	5	9	4	4	4	6	9	4	5	9	7	2	8
ASV_576	15	6	6	3	1	6	14	7	11	9	7	8	8	3	8	5	2	10
ASV_681	13	8	8	13	9	18	1	4	5	6	2	13	5	3	6	8	3	7
ASV_886	1	2	11	0	3	2	9	10	11	5	12	19	11	16	5	10	8	2
ASV_1456	11	6	4	2	5	3	15	11	5	6	9	10	9	5	6	6	4	12
ASV_518	4	2	0	0	2	9	10	9	11	16	3	3	0	3	39	4	0	22
ASV_1537	11	6	17	18	3	10	6	6	3	1	7	2	4	4	7	19	3	1
ASV_501	1	0	2	1	7	0	0	10	1	5	43	1	6	0	0	1	5	51
ASV_514	5	9	5	13	9	3	4	17	7	10	5	8	10	2	8	5	1	9
ASV_533	0	1	6	0	1	2	1	1	0	0	0	2	0	0	111	0	0	3
ASV_622	8	8	11	7	12	8	1	10	1	9	8	3	1	1	10	14	5	8
ASV_650	18	10	0	17	0	0	22	7	7	0	14	13	6	0	9	0	2	6
ASV_704	15	3	4	0	13	4	9	16	8	9	4	5	4	4	1	4	21	8
ASV_572	9	0	8	0	11	0	0	3	11	12	11	13	2	7	14	11	3	6
ASV_1619	6	3	8	8	2	2	8	18	4	4	17	9	5	0	10	5	6	6
ASV_532	7	9	1	16	5	7	11	3	4	7	8	6	3	13	7	9	3	2
ASV_552	6	5	10	5	0	3	8	4	4	6	7	9	3	14	6	6	16	9
ASV_558	8	0	0	0	0	3	2	43	1	20	0	5	9	0	0	2	28	3
ASV_561	3	2	3	9	8	3	7	10	6	9	7	8	7	7	13	9	9	5
ASV_596	5	2	0	4	0	7	4	5	5	7	4	4	0	2	18	9	41	2
ASV_640	7	2	16	2	20	3	5	6	2	12	3	0	13	6	6	6	2	11
ASV_775	15	12	3	0	1	9	20	14	5	6	3	13	2	9	3	2	8	5
ASV_862	1	5	2	2	0	1	13	7	6	2	17	18	8	12	17	14	3	4
ASV_1986	9	6	5	2	3	7	13	8	4	15	5	2	3	10	9	5	4	10
ASV_612	3	5	3	4	4	1	8	22	9	11	10	5	10	1	10	13	5	3
ASV_614	6	5	7	7	7	8	4	1	2	2	50	5	4	1	6	1	6	2
ASV_647	18	2	4	7	3	5	16	7	21	5	3	8	3	5	3	7	3	4
ASV_696	13	6	0	5	5	14	13	6	1	10	9	9	3	8	7	5	4	10
ASV_998	1	2	0	2	1	3	20	9	6	6	9	26	8	5	9	13	5	5
ASV_1817	15	9	2	1	12	12	9	1	14	3	7	3	1	0	4	23	5	3
ASV_639	6	7	4	6	1	9	6	14	6	7	11	10	9	8	11	3	5	5
ASV_859	11	6	2	8	1	7	9	10	2	17	2	4	8	7	4	5	13	7
ASV_2043	1	6	14	5	4	10	7	15	5	1	10	7	9	4	7	6	4	6
ASV_565	4	5	3	2	1	1	20	12	13	8	18	8	6	6	6	3	4	7
ASV_810	2	5	0	7	0	15	10	0	9	9	23	5	5	3	9	9	5	10
ASV_962	11	15	3	4	3	4	9	10	13	6	2	6	5	3	5	7	11	6
ASV_2517	8	5	25	11	3	10	4	6	3	0	6	6	2	4	2	8	4	9
ASV_567	6	3	5	4	2	0	5	11	11	8	7	10	2	14	14	8	1	10
ASV_580	4	5	1	4	1	2	13	12	3	10	4	16	5	3	14	12	3	10
ASV_601	1	14	2	1	2	2	5	19	20	2	4	14	7	3	9	8	7	4
ASV_1674	9	12	2	0	1	3	8	16	8	9	19	10	4	0	8	3	3	10
ASV_591	15	13	5	10	1	4	8	7	3	5	2	13	6	9	2	5	5	5
ASV_617	4	13	1	5	9	11	8	9	6	6	5	3	12	2	8	7	7	2
ASV_642	4	3	2	8	0	13	11	4	11	11	6	5	4	6	11	8	6	11
ASV_1982	23	3	4	12	10	10	4	2	10	7	3	8	2	7	2	2	4	4
ASV_563	6	6	4	8	6	14	8	7	7	6	11	12	4	1	6	6	7	4
ASV_570	5	2	18	4	6	7	4	11	2	9	5	3	1	4	10	7	10	12
ASV_615	6	5	2	8	9	2	13	11	8	13	5	7	4	6	3	3	3	7
ASV_654	0	0	0	56	0	0	0	59	0	4	0	0	1	0	0	0	0	0
ASV_660	7	3	2	4	6	7	9	3	5	7	7	15	1	0	14	7	9	12
ASV_626	4	6	10	5	7	10	7	3	6	3	8	17	3	3	3	5	6	3
ASV_829	2	8	1	0	0	11	6	12	3	5	5	42	11	0	5	2	2	5
ASV_2360	2	4	4	1	0	1	15	10	10	2	9	25	13	3	13	2	5	3
ASV_587	9	6	8	13	16	6	8	2	1	6	7	4	6	13	2	2	4	3
ASV_624	7	11	2	5	2	8	11	6	8	5	5	15	6	3	10	8	2	5
ASV_630	11	0	0	6	0	4	3	14	4	3	2	14	7	1	0	2	1	43
ASV_670	1	9	2	1	1	0	17	18	14	1	7	6	7	7	11	8	5	8
ASV_703	5	3	8	8	3	3	6	4	12	6	3	9	5	7	7	2	11	14
ASV_564	5	3	5	11	15	3	7	3	5	4	8	6	4	9	11	1	6	8
ASV_600	8	8	5	12	5	10	7	3	8	4	9	7	7	4	8	4	7	3
ASV_602	1	0	1	23	0	31	6	2	3	1	0	6	4	1	9	17	4	3
ASV_616	2	11	3	6	10	0	3	4	3	4	3	8	7	9	3	30	1	4
ASV_655	4	5	6	10	9	13	1	7	3	4	6	4	4	7	9	6	13	2
ASV_691	23	10	6	0	0	0	12	10	3	15	3	2	0	5	12	11	0	6
ASV_548	0	2	2	0	0	7	9	18	5	1	4	9	4	2	39	13	0	1
ASV_610	0	7	0	0	0	0	0	0	1	5	0	2	0	0	3	0	0	93
ASV_676	9	3	3	11	6	7	2	4	4	9	11	7	4	7	10	6	6	2
ASV_690	6	3	2	2	3	6	10	7	8	7	8	18	10	5	6	2	4	7
ASV_767	4	7	41	4	5	1	9	5	3	2	5	9	3	0	4	4	4	4
ASV_1269	3	4	3	8	1	6	14	8	6	7	6	13	6	3	3	4	10	7
ASV_2899	8	8	1	1	1	8	20	16	7	7	5	5	6	2	3	3	13	1
ASV_584	12	4	3	2	5	7	5	6	6	4	9	8	8	7	10	5	6	9
ASV_608	6	8	3	9	4	4	9	15	6	11	4	6	7	1	7	3	5	5
ASV_668	6	28	0	6	6	5	13	17	9	6	0	9	1	0	2	2	2	2
ASV_693	15	2	2	0	7	12	19	9	7	8	10	3	0	0	6	4	7	10
ASV_700	6	5	6	7	4	5	3	5	14	10	3	10	8	5	7	9	6	5
ASV_595	7	9	2	7	5	10	6	2	5	5	8	6	8	4	6	13	1	7
